id,sex,age,order,boxtype,phase,sessionno,trialno,correct,trialtype,phase2,experiment
Bear,m,5,stickfirst at test,blue,transfer,1,1,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,1,2,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,1,3,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,1,4,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,1,5,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,1,6,0,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,1,7,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,1,8,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,2,9,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,2,10,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,2,11,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,2,12,0,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,2,13,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,2,14,0,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,2,15,1,food,2,2
Bear,m,5,stickfirst at test,blue,transfer,2,16,1,food,2,2
Rosa,f,8,foodfirst at test,pink,test,1,1,0,food,1,2
Rosa,f,8,foodfirst at test,pink,test,1,2,1,food,1,2
Rosa,f,8,foodfirst at test,pink,test,1,3,1,food,1,2
Rosa,f,8,foodfirst at test,pink,test,1,4,0,food,1,2
Rosa,f,8,foodfirst at test,pink,test,1,5,0,food,1,2
Rosa,f,8,foodfirst at test,pink,test,1,6,1,food,1,2
Rosa,f,8,foodfirst at test,pink,test,1,7,0,food,1,2
Rosa,f,8,foodfirst at test,pink,test,1,8,1,food,1,2
Rosa,f,8,foodfirst at test,pink,test,2,9,1,food,1,2
Rosa,f,8,foodfirst at test,pink,test,2,10,1,food,1,2
Rosa,f,8,foodfirst at test,pink,test,2,11,1,food,1,2
Rosa,f,8,foodfirst at test,pink,test,2,12,0,food,1,2
