id,agemonths,ageyears,age,sex,order,boxtype,order3,trialno,side,response,correct,passedpretest
82,59.11184211,4.925986842,4,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
83,54.96710526,4.580592105,4,m,penfirst,blue-right,pretest,1,L,L,1,yes
83,54.96710526,4.580592105,4,m,penfirst,blue-right,pretest,2,R,R,1,yes
84,50.30921053,4.192434211,4,m,penfirst,blue-right,pretest,1,L,L,1,yes
84,50.30921053,4.192434211,4,m,penfirst,blue-right,pretest,2,R,R,1,yes
85,67.67105263,5.639254386,5,f,penfirst,pink-right,pretest,1,L,L,1,yes
85,67.67105263,5.639254386,5,f,penfirst,pink-right,pretest,2,R,R,1,yes
87,52.83552632,4.402960526,4,m,stickerfirst,blue-right,pretest,1,L,L,1,yes
87,52.83552632,4.402960526,4,m,stickerfirst,blue-right,pretest,2,R,R,1,yes
88,63.14473684,5.262061404,5,f,stickerfirst,pink-right,pretest,1,L,L,1,yes
88,63.14473684,5.262061404,5,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
89,53.90131579,4.491776316,4,m,penfirst,blue-right,pretest,1,L,L,1,yes
89,53.90131579,4.491776316,4,m,penfirst,blue-right,pretest,2,R,R,1,yes
90,40.86842105,3.405701754,3,m,penfirst,blue-right,pretest,1,L,L,1,yes
90,40.86842105,3.405701754,3,m,penfirst,blue-right,pretest,2,R,R,1,yes
91,64.96710526,5.413925439,5,m,penfirst,blue-right,pretest,1,L,L,1,yes
91,64.96710526,5.413925439,5,m,penfirst,blue-right,pretest,2,R,R,1,yes
92,60.53947368,5.04495614,5,f,stickerfirst,pink-right,pretest,1,L,L,1,yes
92,60.53947368,5.04495614,5,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
94,51.80263158,4.316885965,4,m,stickerfirst,pink-right,pretest,1,L,L,1,yes
94,51.80263158,4.316885965,4,m,stickerfirst,pink-right,pretest,2,R,R,1,yes
96,36.60526316,3.050438596,3,f,penfirst,pink-right,pretest,1,L,L,1,yes
96,36.60526316,3.050438596,3,f,penfirst,pink-right,pretest,2,R,R,1,yes
97,71.26315789,5.938596491,5,f,penfirst,blue-right,pretest,1,L,L,1,yes
97,71.26315789,5.938596491,5,f,penfirst,blue-right,pretest,2,R,R,1,yes
98,45.76973684,3.814144737,3,m,penfirst,pink-right,pretest,1,L,L,1,yes
98,45.76973684,3.814144737,3,m,penfirst,pink-right,pretest,2,R,R,1,yes
100,60.40789474,5.033991228,5,m,penfirst,pink-right,pretest,1,L,L,1,yes
100,60.40789474,5.033991228,5,m,penfirst,pink-right,pretest,2,R,R,1,yes
103,55.67105263,4.639254386,4,m,penfirst,pink-right,pretest,1,L,L,1,yes
103,55.67105263,4.639254386,4,m,penfirst,pink-right,pretest,2,R,R,1,yes
105,65,5.416666667,5,f,penfirst,pink-right,pretest,1,L,L,1,yes
105,65,5.416666667,5,f,penfirst,pink-right,pretest,2,R,R,1,yes
106,61.09868421,5.091557018,5,f,stickerfirst,pink-right,pretest,1,L,L,1,yes
106,61.09868421,5.091557018,5,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
107,45.44078947,3.786732456,3,f,stickerfirst,pink-right,pretest,1,L,R,0,yes
107,45.44078947,3.786732456,3,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
107,45.44078947,3.786732456,3,f,stickerfirst,pink-right,pretest,3,R,R,1,yes
107,45.44078947,3.786732456,3,f,stickerfirst,pink-right,pretest,4,L,L,1,yes
107,45.44078947,3.786732456,3,f,stickerfirst,pink-right,pretest,5,L,L,1,yes
